0.psd_delta,1.psd_delta,1.psd_beta,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power,3.psd_delta,3.psd_alpha,3.psd_gamma,3.delta_rel_power,3.beta_rel_power,4.psd_beta,5.psd_delta,5.psd_theta,5.psd_alpha,Stress_level
20182.806905314563,28605.27009041774,17892.77743648029,39588.80663025014,26349.248690232977,25318.010569555085,21051.5692058256,10432.19088750591,4.5522922583231695,0.2298061014041403,0.0857096723903061,0.0951028033039479,0.4704758156482961,38021.61886406353,19063.61258647844,10901.496723248809,0.2291919888164354,0.4450012149302192,13536.91052065138,17075.144057104488,20307.36688271688,9314.140136620555,1
19135.806413855124,19592.9807067454,21019.549974011712,22056.876030582047,31557.75515987708,24378.90643956204,22604.69776698617,11208.863299979588,4.851737554367904,0.1019172230353298,0.1500990412295986,0.1417182611126199,0.3656484004988858,27844.95434846825,21553.229789330784,11880.82683203174,0.0988492482920158,0.3797715617982496,18229.731899916595,18709.001261712976,25648.96688999736,16483.365962299587,1
32941.63557132192,38646.00043597775,17892.526559008416,52292.073184092005,30228.58805453304,11337.66706505444,17356.871945570456,11072.970732972228,4.746751220050998,0.1529205778683457,0.0953500577165344,0.0514588370682272,0.2881646203476747,18329.108928401904,7781.267541449775,9219.426021156673,0.0844096798004591,0.3774240424112607,13182.80564302126,11353.10524266231,14285.023466610844,13457.488692788196,1
29493.97956673497,45266.41048398044,18937.952343939785,43767.8988920832,19678.22252384832,11604.41198175667,22410.07940967735,11424.186911014436,4.946059307782031,0.1354840533105677,0.1217640558498631,0.0682119490240561,0.5043279023324407,34088.66777995037,16794.02818995647,10778.374928666835,0.1264024104646831,0.4506050408972005,16833.16081086341,21454.77227927208,16664.88140692067,11687.296322421802,1
27427.46869751132,57163.573214497286,21881.48112683162,63130.9482198714,17260.257234164736,5986.469318035514,27889.20438437387,13137.645758197998,4.750683921363923,0.1861780571044269,0.083503934655372,0.0263181794728715,0.5023431362115461,56454.79192687381,10967.75563857941,12560.463601495932,0.1774757460033925,0.5462988310802313,19682.526817327263,24978.370917221186,13505.892479838734,7437.796551715851,1
5179.538993295471,26521.33423658332,19801.28764921889,31388.368108900875,20653.420760577173,21870.71777325416,19498.34408639204,9520.09320422048,4.841540512495166,0.1051879281611039,0.0993914118699118,0.0872877250566199,0.4390251354193218,19203.344641792883,12929.099490967266,9884.83354006593,0.0619230137309469,0.4771799683164633,21447.8964220974,12516.144691421065,16835.341433065703,9770.672808578733,1
15964.767507060136,17023.699123838524,14951.96411861001,15748.930175609898,17040.220302793423,11114.637097574923,15176.820260682402,16380.915762679104,4.574845334706573,0.0754966392543863,0.0440487248362041,0.0754444397748644,0.3249679031016433,19490.802080142435,17033.972581804155,14922.429019567302,0.0705138808870825,0.3259621608470711,14131.253378108602,14114.328237788544,10520.22757471108,6528.751027115111,1
13449.97001101814,15209.784454788029,27038.548585943223,19412.89742266169,24347.358041092382,11431.378084760216,32192.016638619352,8207.681185647783,4.974834782811223,0.0518049085085223,0.1603964510372185,0.0568911497116024,0.6055748601880793,18702.54417367578,10990.451696770166,10115.17248435036,0.0603550552941107,0.5482521364105757,24258.099222340297,8762.228657885407,18704.75904783148,7454.55682288287,1
10785.409539988186,7081.741816440663,19190.07109008912,17415.091886384893,19826.935303984545,14678.243782570367,21261.108410286368,13029.889760577784,4.632234775538108,0.0465615547686032,0.033780589529859,0.0374451198143831,0.5606501668672741,12338.48395469409,22550.59686836388,11823.317590048591,0.0340281361527278,0.5214064353790608,19831.21023097968,11662.936310336554,20626.97762301699,20291.763617675468,1
22610.703201122906,21226.19582824959,15532.785831587102,14865.86629984656,9858.34140410493,18330.37502289971,19223.84642444657,13245.797657978132,4.8530289120172085,0.0541814578909359,0.0390633747046348,0.0791124559194087,0.4061334759171475,16666.229105944945,17673.32890026692,13451.1170590193,0.0286063253677477,0.4220034528983934,14993.460491697122,8451.262388080591,16701.089133875863,15300.395216492092,1
25682.84074950664,7660.3642405306355,14073.466497870468,6846.585207464673,24233.816040951315,18542.60065731757,16339.878760089756,13054.307735976035,5.002534506992179,0.0181623418908183,0.1239332095400392,0.1178981374972317,0.4073953177205405,17057.450096108605,20866.660469761857,12508.631499007575,0.0335713482958551,0.3704112693385636,13825.87033280656,8253.601555006364,24647.88470352319,17716.1214465891,1
53496.00095812854,55288.49792956888,19482.522997318923,55847.96698492139,23902.782850285235,21726.837056805303,23249.33834088805,10574.670230061442,4.988482886581785,0.1395992446808084,0.1562436177958081,0.0741155106759952,0.2642647916962348,50708.839149716616,14636.02915091537,11019.76954114571,0.1157520832325512,0.2418941841217517,16127.868773230051,29008.889562708337,23665.3487063001,11846.163130754052,1
31734.41915685971,25803.79914438541,25668.03174678665,29988.02262913512,18142.20015471245,10553.214852353083,24219.466651419167,12421.23078728638,5.120217528323886,0.1092645449045085,0.0753111729768793,0.0522378980783681,0.4331584359957953,27955.340623956392,14113.03307757421,13089.883016124137,0.0779425692486937,0.4665950758722781,26263.443721150263,18458.74779372932,15071.730097769216,7392.952287662287,1
21792.11812807563,45259.03286564982,21822.147471046657,42896.49375304221,49843.9799294809,30422.540491291995,21664.6058109606,10070.765766719123,4.903938857766391,0.1918938171525045,0.182862226257693,0.0978878857339581,0.2361571140710204,31915.56741577377,27863.46839434002,10298.986768951912,0.1293573971723937,0.2948398192762326,20035.123757782378,26207.438976354944,16597.275411957704,12486.619310808215,1
26411.918857612647,36192.73599530509,20365.84827814075,39822.06638995396,19167.90971108613,17603.434200187465,24672.8493179745,14088.232155477082,4.456421046607149,0.1210758985405735,0.0452966915874024,0.1136449163802106,0.3442717436331132,37916.90440345537,21927.510874449712,11935.998043503796,0.1379017389771752,0.3779245311352868,19099.52555057276,13966.486319009227,13521.892936363449,27026.60169374959,1
23926.83630655193,31118.334281202555,22468.624748459868,41173.03334121678,13205.839838124672,12750.800458165768,19524.19208342915,10963.412413784195,4.4105979902358285,0.0693482046016583,0.0688267075464919,0.0537933272287715,0.3362900708553354,28292.70633380433,7849.364538194218,9600.91215352407,0.0943664297884879,0.3449434836098214,18659.06922700961,13448.1475811262,6740.807075224274,7522.642506359715,1
28709.14287684953,15446.968210583198,24140.82754395952,10946.235023310895,6433.938101513537,12515.886309307916,23547.71589801556,7406.863731176314,4.761314471932395,0.0125749192505416,0.0291619214902357,0.0550609423786312,0.6414932725573849,13082.300525753182,14462.07531532148,7286.832691289876,0.0295508426054695,0.6036743196350393,20459.49080260393,4365.257685910394,15482.851130678102,9420.511277783258,1
15943.505172154686,13296.585769689087,5841.552645607238,12423.316206801428,4368.641490881959,3517.975062111176,5085.152149054348,1770.583736007375,4.84091991162643,0.2148655120118775,0.0757332769555999,0.058016381551016,0.3721500920198418,10927.60326434109,3945.59555657182,1401.9460978195746,0.194092196850938,0.4599437678972673,6021.250804681647,10100.217785682344,6102.233823648063,4837.355705046916,1
22295.66247145257,16611.07314353537,4652.950969498824,14503.399538038568,3863.669765707001,8855.775380195697,4105.879375864319,1860.4864025090965,4.661667790182713,0.2007150534174475,0.0647718460824222,0.2546944573264582,0.2889638997388742,16741.76483752415,9481.163215432762,2009.737295291108,0.2141125841372304,0.2183133721920666,3887.642897150265,14032.310979544702,3922.7241355559054,11650.317258983225,1
16377.006011858455,14439.35331150858,4601.166567688637,13643.363562462338,4049.361022768337,5866.984682648249,4294.656262005171,1780.3383469277146,4.805184216300118,0.1778696198873823,0.0707269629640894,0.1490214013321955,0.275213958718592,13288.096251193463,5297.200485703223,1653.640565099052,0.1861036448051471,0.3025117972410786,5113.253357188868,13104.85268853439,6421.794707769792,6827.412188709695,1
8364.179742631768,3488.153773196233,4493.550009750539,3044.132011798009,5759.500559989475,1904.982134162071,4236.32233634247,1971.5669036164568,4.902079765120464,0.0445581148149508,0.0459825330628002,0.0566482389245129,0.4177225098685166,6953.147968645997,2404.716074969612,2477.7024250300387,0.1153964996520282,0.3060331443938444,4280.024601701277,13569.541333326444,12026.597311334885,3226.681921898769,1
17743.746207195807,14944.600419881544,3773.025481429723,12871.250647116252,3940.073409472861,5632.365672448039,3256.354279332786,1837.96975911064,4.710862020249519,0.2636740492917625,0.0733690686261564,0.1266075586216706,0.2103903555883778,12062.877239127944,6082.805002090169,1897.6553320839528,0.2516895980665943,0.2678191957185223,4823.628910388519,14963.087131056902,8713.34442802426,5041.159397476456,1
11327.082494376322,7033.749067253899,5573.009831544772,5487.360448034791,8620.149453169746,6361.898228131528,5487.363960197283,1920.5301506320584,4.935720495946619,0.0541523138559699,0.1161348346404794,0.1059479784607986,0.4846143779138049,5956.784020893801,5554.557850521647,1958.483835892775,0.0685181091050218,0.4485333308750768,4798.061362066143,7362.115175112537,6798.833308746807,4849.785184984766,1
6567.199007012029,6169.02581943565,3803.457364239705,5094.691681850003,9217.989613302276,5360.8539861606,4174.64402377745,2270.0694625768133,4.85960693287692,0.0483750787578383,0.1931931708489888,0.132959758671593,0.2824796135469927,4315.260347780704,5774.749524060033,2448.501666778919,0.0381171036403782,0.3431026807117125,6698.725092070028,5754.981564092765,9216.915485132537,10016.4765162574,1
18252.68306960386,12900.901639747284,4269.817031086956,12586.20206496984,13777.843755040749,4121.270544153004,4614.266316730514,2231.2146209522,4.89491050904986,0.1264088563067282,0.1611509151706559,0.0291191746848132,0.4483939577280914,15218.43514126766,6143.066258558374,2248.805226070575,0.1126101172175782,0.4535129114090195,5813.562361948043,9010.813523134011,14944.90839752324,5520.953477261585,1
5568.113881821013,7301.982444183934,5208.285555217033,8358.619434678949,5213.555872509439,4580.0415452174975,5349.468016207688,872.1529810552981,4.854971408070682,0.1019038074116193,0.0846050996108519,0.1199128641624654,0.5579336022598593,6352.957107306089,7198.251755482605,860.3083835225325,0.1533406977968398,0.411777150048376,4599.877534384636,8424.720345260832,7992.583368860776,10182.224414508326,1
11298.621807815456,7424.171799737616,4469.733937617074,6950.266604196803,3369.361017286912,4130.5072410373605,3844.525981822835,2968.8634560126447,4.890992315466914,0.1021403710712507,0.0801985183448792,0.0727783096232222,0.4617623129224155,11040.748957107098,5856.390226586397,2862.2066507176773,0.1591855844973534,0.451377048743416,4974.605401232789,10538.074851221798,3713.845117848728,5568.64432324934,1
15847.238458701582,9868.106192037794,4236.06584317531,8917.95758392671,7618.281087690513,7944.453371211594,3825.619248432345,3074.71819511575,4.781331637621076,0.1605801712785212,0.172606995871821,0.0847018619894911,0.3775353019925457,10875.060814335586,10992.229698753395,2810.19380442606,0.1666646660766993,0.3932648106754334,5796.746408293947,10214.54584280847,5928.962516412631,10279.815561324816,1
8846.734229177786,5267.873292144856,5558.687788459329,4722.297641801597,9599.198321410662,4833.845075834437,5355.311419400015,1876.0000917388447,4.693771935280698,0.0346854619971264,0.1950719448576873,0.0503600700833685,0.5071264053028195,6359.875115379489,5741.655354008256,1983.7088306203568,0.0453855887048189,0.450049211440936,5953.67037399178,5225.65882704874,12833.910702713489,6510.13584802959,1
12305.498666906513,9583.16877379748,4147.749275088065,9534.42777423932,3490.86640740522,8237.69609620362,3374.432748486557,2980.7485360722326,4.86478369826134,0.1261367265371519,0.0685425715178374,0.1962980190993847,0.2963258568339622,10767.740845290611,11773.982806589302,3054.9794050463515,0.1308591619531208,0.2794458173681468,3616.301671468127,9887.560605640552,4731.192607757718,13896.577475181684,1
8982.527134819584,7802.521617385409,7792.9358752808,8063.504769781989,5268.719797756216,5727.156935257182,6714.80161929,1933.3897812980167,5.007021556616047,0.1192021109725611,0.128910571043354,0.0635434668607039,0.5078692815580573,7808.715122818162,6787.637177249079,1711.631551090503,0.1049191173618817,0.4810345980533024,8436.115176682435,7823.250749943505,5921.756634629544,8858.847472730726,1
10498.954837488736,4009.3534763972566,5268.588493090132,6403.064353212421,6821.838350039492,6226.276681692804,5286.518264188931,2030.6562505597683,4.9703004265587865,0.1563223396466526,0.108140453141265,0.0505248018382705,0.506228176486763,4944.362552306331,7714.110589152456,2032.2435231696847,0.0649957659671342,0.5042463286688855,6271.741749794981,8276.085651364587,12641.406596752497,9254.858853213598,1
9828.276870683025,7973.484567980569,3881.97907359123,8636.241448560217,8820.600242979863,7722.496415510784,3607.245778859192,3580.343031717748,4.6917695152389705,0.1326556057398204,0.1259921036819777,0.1393649727985356,0.3344948464231347,11525.681096342309,8338.132686757603,3404.469596433828,0.1396062395042077,0.3627652147328516,4024.078801736855,14098.748346593466,9228.253856709256,11885.391912364212,1
