,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.delta_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,1.beta_rel_power,2.psd_delta,2.psd_beta,2.spectral_entropy_value,2.delta_rel_power,3.psd_delta,3.psd_theta,3.psd_alpha,3.psd_gamma
36,29493.97956673497,35182.28023526278,11669.22263899984,16325.585485797636,9024.198813422656,4.650391943304855,0.1368209311720405,0.4424849566460954,45266.41048398044,20804.30259452941,11551.657290295405,18937.952343939785,4.844684352617526,0.1428990120190414,0.1364635899753871,0.0675860634280131,0.4950889761233212,43767.8988920832,22410.07940967735,4.946059307782031,0.1354840533105677,34088.66777995037,24866.08580116387,16794.02818995647,10778.374928666835
37,27427.46869751132,42255.17900867818,8929.429599177927,17521.108746242076,8995.07916553662,4.868299903470789,0.1253773342078523,0.4491907169608684,57163.573214497286,14465.735593972398,7170.449428072279,21881.48112683162,4.830115038990964,0.1890992356386018,0.0791458417372602,0.0224834199099449,0.4644818320976573,63130.9482198714,27889.20438437387,4.750683921363923,0.1861780571044269,56454.79192687381,19852.57184140922,10967.75563857941,12560.463601495932
38,5179.538993295471,31430.56425122336,15184.720284514638,21593.89352660107,7659.687046618502,4.791325089953369,0.022200341639904,0.5445769032986271,26521.33423658332,24958.90880314221,16061.848753843602,19801.28764921889,4.96520226306447,0.0826763600632346,0.0963753687726426,0.0983500245857395,0.4996268825838337,31388.368108900875,19498.34408639204,4.841540512495166,0.1051879281611039,19203.344641792883,22235.52283312886,12929.099490967266,9884.83354006593
39,15964.767507060136,22840.21752111461,11813.845691211403,15838.94622676934,12881.609703222635,4.530284311342648,0.0933423087501675,0.3690259229264518,17023.699123838524,13568.23613788345,8710.378873501075,14951.96411861001,4.416847495535157,0.0911380828585312,0.0287729118507758,0.0367178229074642,0.3427455889481478,15748.930175609898,15176.820260682402,4.574845334706573,0.0754966392543863,19490.802080142435,13390.215287469491,17033.972581804155,14922.429019567302
40,13449.97001101814,22743.32240553704,11915.221514318217,24484.46340387945,7604.482923885315,4.959310337248942,0.1079235039299996,0.4259229524566191,15209.784454788029,29036.07805470344,12860.777896617465,27038.548585943223,4.990714359895487,0.0664274895348225,0.1840754791045891,0.0640406777402486,0.518730652961084,19412.89742266169,32192.016638619352,4.974834782811223,0.0518049085085223,18702.54417367578,25136.37753476506,10990.451696770166,10115.17248435036
41,10785.409539988186,25662.21275163312,24073.999582756194,17917.49439206364,8820.393196742076,4.982490773626334,0.0783568523014226,0.4884325582926025,7081.741816440663,18094.792892898207,16180.023294737162,19190.07109008912,4.7440161838361865,0.0110600071177141,0.0345909561849215,0.0555581705629317,0.6000722356403032,17415.091886384893,21261.108410286368,4.632234775538108,0.0465615547686032,12338.48395469409,22412.760364369693,22550.59686836388,11823.317590048591
42,22610.703201122906,31063.195649760142,21508.012699798583,12832.499331015655,13197.289314052125,4.841211607751303,0.0646597824434962,0.2929944641132878,21226.19582824959,18935.897286497853,15617.60754826942,15532.785831587102,4.7805353101683385,0.0858007251996947,0.0737421386136551,0.0714587545137443,0.3495570704510248,14865.86629984656,19223.84642444657,4.8530289120172085,0.0541814578909359,16666.229105944945,12121.28239165484,17673.32890026692,13451.1170590193
43,25682.84074950664,21655.277436277207,20204.0229710772,12221.468839543157,11075.539803212709,4.921208515645586,0.0915448242604209,0.3160480469865028,7660.3642405306355,17280.591570108947,17367.360424058013,14073.466497870468,4.829322100650872,0.0200902042198168,0.1024043399376464,0.1448289919781238,0.3835836318266771,6846.585207464673,16339.878760089756,5.002534506992179,0.0181623418908183,17057.450096108605,32454.99427873813,20866.660469761857,12508.631499007575
44,53496.00095812854,31997.86686076445,18949.008848683497,16563.64965367424,11509.593093015068,4.877459480131781,0.119242161235029,0.2285646631719529,55288.49792956888,26156.016742483145,23446.98447236611,19482.522997318923,5.041278762031578,0.1281875448237195,0.1970489958946193,0.0838654953559099,0.2406594587369111,55847.96698492139,23249.33834088805,4.988482886581785,0.1395992446808084,50708.839149716616,28753.629102849507,14636.02915091537,11019.76954114571
45,31734.41915685971,35688.36280293945,18456.161149364587,24677.880347446728,10176.188954117346,4.937740752850565,0.1739593169992204,0.4560099056732143,25803.79914438541,22983.01040676301,11258.649643846467,25668.03174678665,5.083071583881517,0.1360854582797411,0.0807900544354732,0.0432239834498797,0.4466165907736613,29988.02262913512,24219.466651419167,5.120217528323886,0.1092645449045085,27955.340623956392,22620.77388502827,14113.03307757421,13089.883016124137
46,21792.11812807563,40131.31359101301,26030.88255004801,19813.35801969761,7963.234692826756,5.013117129467169,0.0885211116331163,0.328060939076248,45259.03286564982,40295.46344844365,28036.69046823867,21822.147471046657,4.861941061070988,0.1946045361497266,0.1673923170530713,0.092418062879168,0.2476580499653686,42896.49375304221,21664.6058109606,4.903938857766391,0.1918938171525045,31915.56741577377,39094.88743261808,27863.46839434002,10298.986768951912
47,26411.918857612647,26499.968677393303,21616.751978201017,20168.14478769829,8570.501677145769,4.954785128673702,0.1001825285474115,0.4025341228561171,36192.73599530509,23387.90863703853,22124.35941682127,20365.84827814075,4.596082753989533,0.0819351022317432,0.0543998060614675,0.1739372847165145,0.3548989033452889,39822.06638995396,24672.8493179745,4.456421046607149,0.1210758985405735,37916.90440345537,15649.41878426858,21927.510874449712,11935.998043503796
48,23926.83630655193,18901.56510745491,14750.377775275028,21643.0880544384,7372.096618099476,4.8665287175471,0.0803175002092543,0.3838800044440459,31118.334281202555,11126.755211774287,17343.76046704058,22468.624748459868,4.605356760180023,0.0604634797609112,0.0334077032968889,0.0895670120310447,0.4053677433855304,41173.03334121678,19524.19208342915,4.4105979902358285,0.0693482046016583,28292.70633380433,12954.617902878435,7849.364538194218,9600.91215352407
49,28709.14287684953,12854.362850268071,29283.778109595733,20969.594072443808,6001.389186522786,4.879078063984236,0.1219566247501086,0.4898820077544824,15446.968210583198,7113.558890828022,16501.500501790386,24140.82754395952,4.81186235538779,0.0433038248635693,0.0394967037751539,0.081844241164491,0.5716440112763052,10946.235023310895,23547.71589801556,4.761314471932395,0.0125749192505416,13082.300525753182,6906.562764130024,14462.07531532148,7286.832691289876
50,15943.505172154686,4768.806171557755,2818.7713264463314,6166.045253427132,1026.8185073893362,4.424854529874354,0.3017103141501306,0.4845044997498557,13296.585769689087,3656.113781420366,2865.367285286864,5841.552645607238,4.701987106370681,0.2363456003068234,0.0631319814715183,0.0496698018426905,0.404919696000213,12423.316206801428,5085.152149054348,4.84091991162643,0.2148655120118775,10927.60326434109,5775.830695653676,3945.59555657182,1401.9460978195746
51,22295.66247145257,7506.098300268827,11311.303975422205,4518.652299040518,1434.5186135898582,4.5998290851061485,0.1991526306947471,0.2887843199008604,16611.07314353537,5779.326825427466,9588.806768234335,4652.950969498824,4.616545766002516,0.1963032036760628,0.0737402518446572,0.2452969434381758,0.344235564255742,14503.399538038568,4105.879375864319,4.661667790182713,0.2007150534174475,16741.76483752415,2999.872384600391,9481.163215432762,2009.737295291108
52,16377.006011858455,7567.050581335837,8701.020015361533,4900.462238369227,2235.328120406116,4.757226003204053,0.1990985997694157,0.2599345983080544,14439.35331150858,4914.533293784301,7216.738097122646,4601.166567688637,4.79380973300648,0.1690821973514271,0.0795683925981107,0.1500241853483218,0.2621672618073559,13643.363562462338,4294.656262005171,4.805184216300118,0.1778696198873823,13288.096251193463,6455.987584706632,5297.200485703223,1653.640565099052
53,8364.179742631768,9250.644776837144,5053.222149463368,5320.217137328769,1760.9055056361588,4.8447783939919145,0.1451300601792287,0.5253686770828498,3488.153773196233,6550.26773065681,2874.958642526363,4493.550009750539,4.925329825362272,0.0593572912984551,0.0569600417110193,0.0991417622668284,0.5501793500631033,3044.132011798009,4236.32233634247,4.902079765120464,0.0445581148149508,6953.147968645997,12702.239876086624,2404.716074969612,2477.7024250300387
54,17743.746207195807,5602.985032143187,8849.690668458688,4976.386782152812,1765.2476548096777,4.591499473109441,0.3134814292283108,0.2954979610910866,14944.600419881544,3712.732769708816,6306.4630880341565,3773.025481429723,4.538091198616264,0.3099934679366186,0.0406862545784666,0.1313828796181627,0.2314901287045868,12871.250647116252,3256.354279332786,4.710862020249519,0.2636740492917625,12062.877239127944,4182.285667987942,6082.805002090169,1897.6553320839528
55,11327.082494376322,12448.701233133292,4939.738990513124,5850.567230092421,2257.785958392873,4.844223124532789,0.1020364375735894,0.408282780256534,7033.749067253899,8117.095923485761,7241.092977162393,5573.009831544772,4.926984758746059,0.0976114311013372,0.1157409435799147,0.0867013106645234,0.429587056744844,5487.360448034791,5487.363960197283,4.935720495946619,0.0541523138559699,5956.784020893801,9256.390542264297,5554.557850521647,1958.483835892775
56,6567.199007012029,11293.208642517766,8797.80117468546,6206.916901116304,2170.947904240365,4.844144548838235,0.0537080209607891,0.3281868190092266,6169.02581943565,9175.7970526908,5084.349826813563,3803.457364239705,4.979703382801676,0.0686911130012192,0.1842659404298023,0.1327578622880002,0.2655888197179205,5094.691681850003,4174.64402377745,4.85960693287692,0.0483750787578383,4315.260347780704,9166.66084591533,5774.749524060033,2448.501666778919
57,18252.68306960386,19255.27107563821,8402.529281075198,5857.995533979807,2575.624971472081,4.801079799627154,0.1307569997447323,0.3615038560472466,12900.901639747284,14237.38761955114,4934.692990574666,4269.817031086956,4.902721271417062,0.1404404512725326,0.1587330047654429,0.036058673776058,0.3935097393929305,12586.20206496984,4614.266316730514,4.89491050904986,0.1264088563067282,15218.43514126766,15487.416256078252,6143.066258558374,2248.805226070575
